name_Jap,name_Eng,type,race,attribute,level,PS,atk,def,id,name_FullWidth_Jap
万物創世龍,Ten Thousand Dragon,MONSTER EFFECT SPSUMMON,DRAGON,DARK,10,,-2,-2,10000,万物創世龍
リミット・リバース,Limit Reverse,TRAP CONTINUOUS,,,,,,,27551,リミット・リバース
13人目の埋葬者,The 13th Grave,MONSTER NORMAL,ZOMBIE,DARK,3,,1200,900,32864,１３人目の埋葬者
SPYRAL－ボルテックス,SPYRAL Sleeper,MONSTER EFFECT SPSUMMON,FIEND,LIGHT,8,,2800,1200,35699,ＳＰＹＲＡＬ－ボルテックス
バスター・スナイパー,Assault Sentinel,MONSTER EFFECT,BEASTWARRIOR,EARTH,4,,1600,800,39015,バスター・スナイパー
DD魔導賢者トーマス,D/D Savant Thomas,MONSTER EFFECT PENDULUM,FIEND,DARK,8,6,1800,2600,41546,ＤＤ魔導賢者トーマス
ジェム・エンハンス,Gem-Enhancement,TRAP,,,,,,,41777,ジェム・エンハンス
マジシャンズ・サークル,Magician's Circle,TRAP,,,,,,,50755,マジシャンズ・サークル
競闘－クロス・ディメンション,Cross-Dimensional Duel,TRAP,,,,,,,56889,競闘－クロス・ディメンション
闇晦ましの城,Castle of Dark Illusions,MONSTER EFFECT FLIP,FIEND,DARK,4,,920,1930,62121,闇晦ましの城
ダウンビート,Downbeat,SPELL,,,,,,,96540,ダウンビート
光波分光,Cipher Spectrum,TRAP,,,,,,,98905,光波分光
溶岩魔神ラヴァ・ゴーレム,Lava Golem,MONSTER EFFECT SPSUMMON,FIEND,FIRE,8,,3000,2500,102380,溶岩魔神ラヴァ・ゴーレム
黒魔導強化,Dark Magic Expanded,SPELL QUICKPLAY,,,,,,,111280,黒魔導強化
プレートクラッシャー,Seismic Crasher,MONSTER EFFECT,ROCK,EARTH,3,,1400,300,114932,プレートクラッシャー
EMスカイ・ピューピル,Performapal Sky Pupil,MONSTER EFFECT,SPELLCASTER,LIGHT,3,,800,800,122520,ＥＭスカイ・ピューピル
ラヴァル・ランスロッド,Laval Lancelord,MONSTER EFFECT,WARRIOR,FIRE,6,,2100,200,123709,ラヴァル・ランスロッド
悪魔のサイコロ,Skull Dice,TRAP,,,,,,,126218,悪魔のサイコロ
EMスプリングース,Performapal Springoose,MONSTER EFFECT,WINGEDBEAST,WIND,5,,1100,2400,128454,ＥＭスプリングース
ミラクル・フリッパー,Miracle Flipper,MONSTER EFFECT,SPELLCASTER,LIGHT,2,,300,500,131182,ミラクル・フリッパー
キーマウス,Key Mouse,MONSTER EFFECT TUNER,BEAST,EARTH,1,,100,100,135598,キーマウス
機関重連アンガー・ナックル,Double Headed Anger Knuckle,MONSTER EFFECT LINK,MACHINE,EARTH,2,,1500,34,146746,機関重連アンガー・ナックル
小人のいたずら,Mischief of the Gnomes,TRAP,,,,,,,164710,小人のいたずら
ヴァイロン・ハプト,Vylon Hept,MONSTER EFFECT,FAIRY,LIGHT,4,,1800,800,168917,ヴァイロン・ハプト
コアキメイル・テストベッド,Koa'ki Meiru Prototype,MONSTER EFFECT,ROCK,EARTH,4,,1800,1800,176392,コアキメイル・テストベッド
コアキメイルトークン,Koa'ki Meiru Token,MONSTER NORMAL TOKEN,ROCK,EARTH,4,,1800,1800,176393,コアキメイルトークン
ヒーローフラッシュ！！,Hero Flash!!,SPELL,,,,,,,191749,ヒーローフラッシュ！！
フリック・クラウン,Flick Clown,MONSTER EFFECT,CYBERSE,DARK,4,,1000,1400,209710,フリック・クラウン
E－エマージェンシーコール,E - Emergency Call,SPELL,,,,,,,213326,Ｅ－エマージェンシーコール
フェンリル,Fenrir,MONSTER EFFECT SPSUMMON,BEAST,WATER,4,,1400,1200,218704,フェンリル
EMターントルーパー,Performapal Turntrooper,MONSTER EFFECT,WARRIOR,LIGHT,4,,1200,1200,220414,ＥＭターントルーパー
城壁壊しの大槍,Ballista of Rampart Smashing,SPELL EQUIP,,,,,,,242146,城壁壊しの大槍
ラピッド・ウォリアー,Rapid Warrior,MONSTER EFFECT,WARRIOR,WIND,4,,1200,200,255998,ラピッド・ウォリアー
甲虫装機の手甲,Inzektor Gauntlet,TRAP,,,,,,,259314,甲虫装機の手甲
独法師,Bonze Alone,MONSTER EFFECT,FAIRY,EARTH,1,,100,100,263926,独法師
神縛りの塚,Mound of the Bound Creator,SPELL FIELD,,,,,,,269012,神縛りの塚
天火の牢獄,Fire Prison,SPELL FIELD,,,,,,,269510,天火の牢獄
霊魂の円環,Shinobird Salvation,TRAP CONTINUOUS,,,,,,,276357,霊魂の円環
水精鱗－アビスノーズ,Mermail Abyssnose,MONSTER EFFECT,FISH,WATER,4,,1500,1500,282886,水精鱗－アビスノーズ
ジェット・ウォリアー,Jet Warrior,MONSTER EFFECT SYNCHRO,WARRIOR,FIRE,5,,2100,1200,286392,ジェット・ウォリアー
TG ワーウルフ,T.G. Warwolf,MONSTER EFFECT,BEASTWARRIOR,DARK,3,,1200,0,293542,ＴＧ ワーウルフ
伝説の都 アトランティス,A Legendary Ocean,SPELL FIELD,,,,,,,295517,伝説の都 アトランティス
一族の掟,The Regulation of Tribe,TRAP CONTINUOUS,,,,,,,296499,一族の掟
電脳増幅器,Amplifier,SPELL EQUIP,,,,,,,303660,電脳増幅器
魔法の歯車,Spell Gear,SPELL,,,,,,,313513,魔法の歯車
ガスタ・スクイレル,Gusto Squirro,MONSTER EFFECT TUNER,THUNDER,WIND,2,,0,1800,336369,ガスタ・スクイレル
EMハンマーマンモ,Performapal Elephammer,MONSTER EFFECT,BEAST,EARTH,6,,2600,1800,340002,ＥＭハンマーマンモ
